POINT,POINT_TYPE,LAT_DECIMAL,LONG_DECIMAL
IPL,VORTAC,32.74886661,-115.50858202
JLI,VORTAC,33.14045861,-116.58593472
JONDA,RP,32.695475,-116.097875
BROWS,RP,32.63111666,-116.76991944
GBN,VORTAC,32.95625833,-112.67427166
BZA,VORTAC,32.7681075,-114.60294638
CENZA,WP,32.58670555,-117.10218055
ZZOOO,WP,32.63145555,-117.24582777
CLSSY,WP,32.68127777,-117.35483611
JUDTH,RP,32.81650277,-113.68839444
MOHAK,RP,32.77584444,-113.97209722
HOGGZ,RP,32.77486111,-114.0692
BLUZE,WP,32.70125555,-116.03118055
GUUSE,WP,32.66579444,-116.42516944
GRIDR,WP,32.67113611,-116.75324166
JORRJ,WP,32.66628055,-116.95869722
ANRMN,WP,32.61862222,-117.10455277
MTBAL,WP,33.60331388,-116.04230555
NSHEE,WP,33.39936111,-116.38311111
PIEZZ,WP,33.00941388,-116.58744722
TGOLD,WP,33.12361111,-112.72055555
YOOUU,WP,32.71858611,-117.3811
BRGDY,WP,32.75973888,-117.36438055
RRONN,WP,32.78320833,-117.29179444
SLI,VORTAC,33.78330108,-118.05475844
IKAYE,RP,34.14305555,-119.01027777
GEEGN,WP,33.89785277,-118.75226666
TEDEY,WP,33.53756944,-117.95411111
MMOTO,WP,33.26956388,-117.69526111
GOFUR,WP,33.17492222,-117.59059444
ECHHO,WP,32.96706666,-117.37316666
BAUCA,WP,32.86021111,-117.26056944
LANDN,WP,32.79361666,-117.30349722
SXC,VORTAC,33.37505583,-118.41990972
FALCC,RP,33.26140555,-117.56846388
MAFAN,RP,33.06830833,-117.42970833
CLSTR,RP,32.86931111,-117.34015
DINTY,RP,33.48291388,-122.58399444
MALIT,RP,32.47559166,-119.59118055
PEBLE,RP,33.18195,-117.83616666
MELDY,RP,33.08939722,-117.69382777
JUNOR,WP,32.76779166,-116.54531111
CHRJR,WP,32.71080555,-116.85027777
SAYOW,WP,32.68486944,-116.98796388
LEGUE,WP,32.86416666,-116.83361111
JETTI,WP,32.76375,-117.31455
LAX,VORTAC,33.93314911,-118.43201277
CWARD,RP,33.38401388,-117.90927222
MADOW,RP,33.62360277,-117.9964
PADRZ,WP,33.19388888,-117.86194444
GYWNN,WP,33.06345555,-117.72923055
EHF,VORTAC,35.48455436,-119.09729363
CHKNN,WP,33.75838333,-118.33674722
HFMNN,WP,33.57587222,-118.23614444
OROSZ,WP,34.42671666,-118.67416944
TWINE,RP,34.30969444,-118.61647777
RIDDL,WP,34.00202777,-118.4598
LANDO,RP,35.01242777,-118.61637222
KERNL,WP,32.92966666,-117.52030555
WNFLD,WP,32.79800833,-117.31596944
