PROCEDURE_NAME,AMENDMENT_NO,RNAV_FLAG,POINT_SEQ,LAT_DECIMAL,LONG_DECIMAL
BARET,FIVE,N,10,32.78171944,-117.38953888
BARET,FIVE,N,20,32.69501388,-117.38380555
BARET,FIVE,N,30,32.61033997,-116.97910002
BARET,FIVE,N,40,32.77410833,-116.67746388
BARET,FIVE,N,10,32.67170833,-116.93578888
BARET,FIVE,N,20,32.65996944,-116.88805555
BARET,FIVE,N,30,32.77410833,-116.67746388
BARET,FIVE,N,10,32.77410833,-116.67746388
BARET,FIVE,N,20,32.77321944,-116.62396388
BARET,FIVE,N,30,32.77038611,-116.46857222
BARET,FIVE,N,40,32.76199444,-116.05371388
BARET,FIVE,N,50,32.75389722,-115.70611388
BARET,FIVE,N,60,32.74886661,-115.50858202
BARET,FIVE,N,10,32.77410833,-116.67746388
BARET,FIVE,N,20,32.94259722,-116.63546388
BARET,FIVE,N,30,33.37923611,-116.17834722
BARET,FIVE,N,40,33.46936944,-116.02330833
BARET,FIVE,N,50,33.51503611,-115.94448333
BARET,FIVE,N,60,33.62060555,-115.76165833
BARET,FIVE,N,70,34.76600416,-114.47410416
BARET,FIVE,N,10,32.77410833,-116.67746388
BARET,FIVE,N,20,32.94259722,-116.63546388
BARET,FIVE,N,30,33.37923611,-116.17834722
BARET,FIVE,N,40,33.46936944,-116.02330833
BARET,FIVE,N,50,33.51503611,-115.94448333
BARET,FIVE,N,60,33.62060555,-115.76165833
BARET,FIVE,N,70,34.10197277,-114.68206638
BARET,FIVE,N,10,32.77410833,-116.67746388
BARET,FIVE,N,20,32.94259722,-116.63546388
BARET,FIVE,N,30,33.37923611,-116.17834722
BARET,FIVE,N,40,33.46936944,-116.02330833
BARET,FIVE,N,50,33.51503611,-115.94448333
BARET,FIVE,N,60,34.11223452,-115.769905
COMIX,TWO,Y,10,32.75069444,-116.992075
COMIX,TWO,Y,20,32.77887222,-117.06439722
COMIX,TWO,Y,30,32.8118,-117.21203055
COMIX,TWO,Y,40,32.91833333,-117.30055555
COMIX,TWO,Y,50,33.05055555,-117.41138888
COMIX,TWO,Y,60,33.13743611,-117.48379444
COMIX,TWO,Y,10,33.13743611,-117.48379444
COMIX,TWO,Y,20,33.25115,-117.60346944
COMIX,TWO,Y,30,33.44125555,-117.80642777
COMIX,TWO,Y,40,33.547625,-117.87887222
COMIX,TWO,Y,50,33.84694444,-118.07666666
COMIX,TWO,Y,60,34.59091666,-118.60316388
COMIX,TWO,Y,10,33.13743611,-117.48379444
COMIX,TWO,Y,20,33.25115,-117.60346944
COMIX,TWO,Y,30,33.44125555,-117.80642777
COMIX,TWO,Y,40,33.55111111,-117.93388888
COMIX,TWO,Y,50,33.77660277,-118.22945833
COMIX,TWO,Y,60,33.93314911,-118.43201277
COMIX,TWO,Y,10,33.13743611,-117.48379444
COMIX,TWO,Y,20,33.25115,-117.60346944
COMIX,TWO,Y,30,33.34523611,-118.197175
COMIX,TWO,Y,40,33.37505583,-118.41990972
HUBRD,ONE,N,10,32.85785277,-117.26723055
HUBRD,ONE,N,20,33.13656666,-117.42193055
HUBRD,ONE,N,30,33.26,-117.57655833
HUBRD,ONE,N,10,33.26,-117.57655833
HUBRD,ONE,N,20,33.44540555,-117.81008055
HUBRD,ONE,N,30,33.93314911,-118.43201277
HUBRD,ONE,N,10,33.26,-117.57655833
HUBRD,ONE,N,20,33.37505583,-118.41990972
LUCKI,ONE,Y,10,32.68822222,-116.87986111
LUCKI,ONE,Y,20,32.7075,-116.81805555
LUCKI,ONE,Y,10,32.7075,-116.81805555
LUCKI,ONE,Y,20,32.71366666,-116.74
LUCKI,ONE,Y,30,32.72014722,-116.65743333
LUCKI,ONE,Y,40,32.73527777,-116.50083333
LUCKI,ONE,Y,50,32.75207222,-116.28544722
LUCKI,ONE,Y,60,32.78516666,-115.84811944
LUCKI,ONE,Y,70,32.84443055,-115.48703888
LUCKI,ONE,Y,80,32.86484166,-115.34117777
LUCKI,ONE,Y,90,32.87939444,-114.72108055
LUCKI,ONE,Y,100,32.78742777,-114.38625
LUCKI,ONE,Y,110,32.77486111,-114.0692
LUCKI,ONE,Y,10,32.7075,-116.81805555
LUCKI,ONE,Y,20,32.71366666,-116.74
LUCKI,ONE,Y,30,32.72014722,-116.65743333
LUCKI,ONE,Y,40,32.73527777,-116.50083333
LUCKI,ONE,Y,50,32.75207222,-116.28544722
LUCKI,ONE,Y,60,32.74886661,-115.50858202
LUCKI,ONE,Y,10,32.7075,-116.81805555
LUCKI,ONE,Y,20,32.73991666,-116.74969444
LUCKI,ONE,Y,30,32.77410833,-116.67746388
LUCKI,ONE,Y,40,32.84444444,-116.60666666
LUCKI,ONE,Y,50,33.00555555,-116.44416666
LUCKI,ONE,Y,60,33.3375,-116.25
LUCKI,ONE,Y,70,33.51503611,-115.94448333
LUCKI,ONE,Y,80,33.77139166,-115.82464166
LUCKI,ONE,Y,90,33.92180277,-115.75090555
LUCKI,ONE,Y,100,34.21038333,-115.61479166
LUCKI,ONE,Y,10,32.7075,-116.81805555
LUCKI,ONE,Y,20,32.73991666,-116.74969444
LUCKI,ONE,Y,30,32.77410833,-116.67746388
LUCKI,ONE,Y,40,32.84444444,-116.60666666
LUCKI,ONE,Y,50,33.00555555,-116.44416666
LUCKI,ONE,Y,60,33.3375,-116.25
LUCKI,ONE,Y,70,33.51503611,-115.94448333
LUCKI,ONE,Y,10,32.7075,-116.81805555
LUCKI,ONE,Y,20,32.73991666,-116.74969444
LUCKI,ONE,Y,30,32.77410833,-116.67746388
LUCKI,ONE,Y,40,32.84444444,-116.60666666
LUCKI,ONE,Y,50,33.00555555,-116.44416666
LUCKI,ONE,Y,60,33.3375,-116.25
LUCKI,ONE,Y,70,33.51503611,-115.94448333
LUCKI,ONE,Y,80,33.62060555,-115.76165833
LUCKI,ONE,Y,90,33.72424722,-115.52671111
LUCKI,ONE,Y,100,33.96033055,-115.00226666
LUCKI,ONE,Y,110,34.10197277,-114.68206638
LUCKI,ONE,Y,10,32.7075,-116.81805555
LUCKI,ONE,Y,20,32.73991666,-116.74969444
LUCKI,ONE,Y,30,32.77410833,-116.67746388
LUCKI,ONE,Y,40,32.84444444,-116.60666666
LUCKI,ONE,Y,50,33.00555555,-116.44416666
LUCKI,ONE,Y,60,33.3375,-116.25
LUCKI,ONE,Y,70,33.51503611,-115.94448333
LUCKI,ONE,Y,80,33.62060555,-115.76165833
LUCKI,ONE,Y,90,33.70841388,-115.64559722
LUCKI,ONE,Y,100,33.990025,-115.26538055
LUCKI,ONE,Y,110,34.35273611,-114.77221944
LUCKI,ONE,Y,120,34.63375833,-114.38473611
PLYYA,TWO,Y,10,32.78171944,-117.38953888
PLYYA,TWO,Y,20,32.86814166,-117.50885277
PLYYA,TWO,Y,30,33.13706388,-117.80446388
PLYYA,TWO,Y,10,33.13706388,-117.80446388
PLYYA,TWO,Y,20,33.29694722,-118.00365555
PLYYA,TWO,Y,30,33.30634444,-118.09404166
PLYYA,TWO,Y,40,33.34260277,-118.4491
PLYYA,TWO,Y,50,33.57166666,-118.77475277
PLYYA,TWO,Y,10,33.13706388,-117.80446388
PLYYA,TWO,Y,20,33.29694722,-118.00365555
PLYYA,TWO,Y,30,33.30634444,-118.09404166
PLYYA,TWO,Y,40,33.34260277,-118.4491
PLYYA,TWO,Y,50,32.68336388,-122.05100833
PLYYA,TWO,Y,10,33.13706388,-117.80446388
PLYYA,TWO,Y,20,33.29694722,-118.00365555
PLYYA,TWO,Y,30,33.30634444,-118.09404166
PLYYA,TWO,Y,40,33.34260277,-118.4491
PLYYA,TWO,Y,50,32.47559166,-119.59118055
PLYYA,TWO,Y,60,31.94208888,-120.26842222
PLYYA,TWO,Y,70,31.55760555,-121.39179722
PLYYA,TWO,Y,10,33.13706388,-117.80446388
PLYYA,TWO,Y,20,33.29694722,-118.00365555
PLYYA,TWO,Y,30,33.35801944,-118.07995277
PLYYA,TWO,Y,40,33.55361111,-118.31277777
PLYYA,TWO,Y,50,33.93314911,-118.43201277
SHAMU,ONE,N,10,32.78171944,-117.38953888
SHAMU,ONE,N,20,33.14805555,-117.76611666
SHAMU,ONE,N,10,33.14805555,-117.76611666
SHAMU,ONE,N,20,33.23177777,-117.89094722
SHAMU,ONE,N,30,33.93314911,-118.43201277
TOPGN,TWO,Y,10,32.64135555,-117.17142777
TOPGN,TWO,Y,20,32.59981944,-116.97338333
TOPGN,TWO,Y,30,32.61491666,-116.80526388
TOPGN,TWO,Y,40,32.644075,-116.57678888
TOPGN,TWO,Y,10,32.644075,-116.57678888
TOPGN,TWO,Y,20,32.66579444,-116.42516944
TOPGN,TWO,Y,30,32.70125555,-116.03118055
TOPGN,TWO,Y,40,32.74886661,-115.50858202
TOPGN,TWO,Y,10,32.644075,-116.57678888
TOPGN,TWO,Y,20,33.00555555,-116.44416666
TOPGN,TWO,Y,30,33.3375,-116.25
TOPGN,TWO,Y,40,33.51503611,-115.94448333
TOPGN,TWO,Y,10,32.644075,-116.57678888
TOPGN,TWO,Y,20,33.00555555,-116.44416666
TOPGN,TWO,Y,30,33.3375,-116.25
TOPGN,TWO,Y,40,33.51503611,-115.94448333
TOPGN,TWO,Y,50,33.62060555,-115.76165833
TOPGN,TWO,Y,60,33.72424722,-115.52671111
TOPGN,TWO,Y,70,33.96033055,-115.00226666
TOPGN,TWO,Y,80,34.10197277,-114.68206638
TOPGN,TWO,Y,10,32.644075,-116.57678888
TOPGN,TWO,Y,20,33.00555555,-116.44416666
TOPGN,TWO,Y,30,33.3375,-116.25
TOPGN,TWO,Y,40,33.51503611,-115.94448333
TOPGN,TWO,Y,50,33.62060555,-115.76165833
TOPGN,TWO,Y,60,33.70841388,-115.64559722
TOPGN,TWO,Y,70,33.990025,-115.26538055
TOPGN,TWO,Y,80,34.35273611,-114.77221944
TOPGN,TWO,Y,90,34.63375833,-114.38473611
