POINT,POINT_TYPE,LAT_DECIMAL,LONG_DECIMAL
EED,VORTAC,34.76600416,-114.47410416
LAX,VORTAC,33.93314911,-118.43201277
SXC,VORTAC,33.37505583,-118.41990972
PKE,VORTAC,34.10197277,-114.68206638
TNP,VORTAC,34.11223452,-115.769905
IPL,VORTAC,32.74886661,-115.50858202
PGY,VORTAC,32.61033997,-116.97910002
BAUBB,WP,33.57166666,-118.77475277
CABIC,WP,33.77139166,-115.82464166
CARDI,RP,33.13656666,-117.42193055
CHADT,WP,33.92180277,-115.75090555
COMIX,WP,33.13743611,-117.48379444
DECEA,WP,33.84694444,-118.07666666
DIRBY,WP,33.34260277,-118.4491
DSURT,WP,33.3375,-116.25
EIREE,RP,33.23177777,-117.89094722
FLSHH,WP,33.05055555,-117.41138888
GAMBT,WP,33.44125555,-117.80642777
HENOM,RP,33.46936944,-116.02330833
HUBRD,RP,33.26,-117.57655833
JOEKR,WP,33.547625,-117.87887222
LEJEN,WP,33.25115,-117.60346944
LNDON,WP,33.96033055,-115.00226666
MOMAR,RP,33.51503611,-115.94448333
MRVEL,WP,33.77660277,-118.22945833
OHBEA,WP,33.29694722,-118.00365555
OTISS,RP,33.44540555,-117.81008055
PITTD,WP,33.30634444,-118.09404166
PLYYA,WP,33.13706388,-117.80446388
SALTN,RP,33.37923611,-116.17834722
SHADI,RP,33.62060555,-115.76165833
SHAMU,RP,33.14805555,-117.76611666
SLAER,WP,33.34523611,-118.197175
SPYDE,WP,33.55111111,-117.93388888
SRRFR,WP,33.990025,-115.26538055
SWAMI,WP,33.35801944,-118.07995277
TASCO,WP,33.55361111,-118.31277777
TRIXI,WP,33.00555555,-116.44416666
TRRSH,WP,33.70841388,-115.64559722
WBERG,WP,33.72424722,-115.52671111
HOGGZ,RP,32.77486111,-114.0692
MANRS,WP,32.78742777,-114.38625
AZTEK,WP,32.72014722,-116.65743333
BARET,RP,32.77410833,-116.67746388
BLUZE,WP,32.70125555,-116.03118055
CANNO,RP,32.77321944,-116.62396388
CARUL,RP,32.94259722,-116.63546388
CBOLA,WP,32.87939444,-114.72108055
CMPOE,WP,32.78516666,-115.84811944
ELKEY,RP,32.68336388,-122.05100833
GUUSE,WP,32.66579444,-116.42516944
HEELX,WP,32.75207222,-116.28544722
HNAHH,WP,32.73991666,-116.74969444
HSKER,WP,32.84444444,-116.60666666
IFHEJ,RP,32.65996944,-116.88805555
IFSOX,RP,32.69501388,-117.38380555
ISEMN,WP,32.61491666,-116.80526388
JACKK,WP,32.73527777,-116.50083333
JEEVS,WP,32.71366666,-116.74
KLOMN,WP,32.77887222,-117.06439722
KRMAA,WP,32.86484166,-115.34117777
KUMBA,RP,32.76199444,-116.05371388
LNTRN,WP,32.91833333,-117.30055555
LUCKI,WP,32.7075,-116.81805555
LYNDI,WP,32.68822222,-116.87986111
MNLYT,WP,32.86814166,-117.50885277
NADDO,WP,32.75069444,-116.992075
NICKK,RP,32.75389722,-115.70611388
PILLO,RP,32.77038611,-116.46857222
SARGS,RP,32.78171944,-117.38953888
SOFII,WP,32.84443055,-115.48703888
TMCAT,WP,32.64135555,-117.17142777
TOPGN,WP,32.644075,-116.57678888
TORIE,RP,32.85785277,-117.26723055
VYDDA,RP,32.67170833,-116.93578888
XMANS,WP,32.8118,-117.21203055
ZIPPP,WP,32.59981944,-116.97338333
MALIT,RP,32.47559166,-119.59118055
FICKY,WP,31.55760555,-121.39179722
ROSIN,RP,31.94208888,-120.26842222
TTRUE,WP,34.63375833,-114.38473611
HUULK,WP,34.59091666,-118.60316388
LINNE,WP,34.35273611,-114.77221944
LVELL,WP,34.21038333,-115.61479166
